InternationalName,Name
Abacavir,Абакавір
Abiraterone,Абіратерон
Aceclofenac,Ацеклофенак
Acetazolamide,Ацетазоламід
Acetylcysteine,Ацетілцистеїн
Acetylsalicylic acid,Ацетілсаліцилова кислота
Achillea millefolium**,Деревій
Aciclovir,Ацикловір
"Aciclovir, combinations","Ациловір, комбінації"
Aclidinium bromide,Аклідініум бромід
Acorus calamus**,Аїр
Adalimumab,Адалімумаб
Adapalene,Адапафен
Ademetionine,Адеметіонін
Adenosine,Аденозін
Aervae lanatae**,Ерви трава
Aescin*,Аесцин
Aethonium*,Аетоній
Afatinib,Афатініб
Aflibercept,Афіберцепт
Agalsidase alfa,Агалсідаза альфа
Agalsidase beta,Агалсідаза бета
Agni casti fructus,Прутняку звичайного плоди
Agomelatine,Агомелатін
Alanine*,Аланін
Albendazole,Альбендазол
Albumin,Альбуімін
Alclometasone,Аклометазон
Alectinib,Алектініб
Alemtuzumab,Алемтузумаб
Alendronic acid,Аледнронова кислота
Alfacalcidol,Альфакальцинол
Alfuzosin,Афлузосин
Alginic acid,Алгінова кислота
Alglucosidase alfa,Алгукозідаза альфа
Alirocumab,Алірокумаб
Allantoin,Аллантоїн
Allergen extracts,Аллергенів екстакти
Allergen extracts: animals*,Аллергенів екстракти тваринні
"Allergen extracts: feather, house dust mites*","Аллергенів екстракти пір’я, домашні пильові кліщі"
Allergen extracts: food*,Аллергенів ектракти їжа
"Allergen extracts: grass pollen, tree pollen*","Аллергенів екстракти пилок трави, пилок дерев"
Allopurinol,Аллопурінол
Alnus**,Вільха
Aloe**,Алое
Alprazolam,Альпразолам
Alprostadil,Альпростаділ
Altabor**,Альтабор
Altan**,Альтан
Alteplase,Альтеплаза
Althaea officinalis**,Алтея лікарська
Althea root,Корень алтеї
Aluminium hydroxide,Алюмінію гідроксід
Aluminium phosphate,Алюмінію фосфат
Alverine,Алверін
Amantadine,Амантадін
Ambazone,Амбазон
Ambrisentan,Амбісентан
Ambroxol,Амброксол
Amikacin,Амікацин
Aminitrozole*,Амінітрозол
Amino acids,Амінокислоти
Aminobutyric acid,Амінобутірова кислота
Aminocaproic acid,Амінокапронова кислота
Amiodarone,Аміодарон
Amisulpride,Амісульпрід
Amitriptyline,Амітріптілін
Amlodipine,Амлодіпін
Ammonia*,Аммоній
Amorolfine,Аморолфін
