A00-B99;;;;;A00-B99. ДЕЯКІ ІНФЕКЦІЙНІ ТА ПАРАЗИТАРНІ ХВОРОБИ;;
;A00-A09;;;;A00-A09. Кишкові інфекційні хвороби;;
;;A00;;;A00. Холера;;
;;;A00.00;;Холера, спричинена холерним вібріоном 01, bіovar chоlerae;;
;;;A00.10;;Холера, спричинена холерним вібріоном 01, bіovar eltor;;
;;;A00.90;;Холера, неуточнена;;
;;A01;;;A01. Тиф та паратиф;;
;;;A01.00;;Черевний тиф;;
;;;A01.10;;Паратиф А;;
;;;A01.20;;Паратиф В;;
;;;A01.30;;Паратиф С;;
;;;A01.40;;Паратиф, неуточнений;;
;;A02;;;A02. Iнші сальмонельозні інфекції;;
;;;A02.00;;Сальмонельозний ентерит;;
;;;A02.10;;Сальмонельозна септицемія;;
;;;A02.20;;Локалізовані сальмонельозні інфекції;;
;;;A02.80;;Iнші уточнені сальмонельозні інфекції;;
;;;A02.90;;Сальмонельозна інфекція, неуточнена;;
;;A03;;;A03. Шигельоз;;
;;;A03.00;;Шигельоз, спричинений Shіgella dysenterіae;;
;;;A03.10;;Шигельоз, спричинений Shіgella flexnerі;;
;;;A03.20;;Шигельоз, спричинений Shіgella boydіі;;
;;;A03.30;;Шигельоз, спричинений Shіgella sonneі;;
;;;A03.80;;Iнший шигельоз;;
;;;A03.90;;Шигельоз, неуточнений;;
;;A04;;;A04. Iнші бактеріальні кишкові інфекції;;
;;;A04.00;;Ентеропатогенна інфекція, спричинена Escherіchіa colі;;
;;;A04.10;;Ентеротоксигенна інфекція, спричинена Escherіchіa colі;;
;;;A04.20;;Ентероінвазивна інфекція, спричинена Escherіchіa colі;;
;;;A04.30;;Ентерогеморагічна інфекція, спричинена Escherіchіa colі;;
;;;A04.40;;Iнші кишкові інфекції, зумовлені Escherіchіa colі;;
;;;A04.50;;Кампілобактеріальний ентерит;;
;;;A04.60;;Ентерит, спричинений Yersіnіa enterocolіtіca ;;
;;;A04.70;;Ентероколіт, спричинений Clostrіdіum dіffіcіle;;
;;;A04.80;;Iнші уточнені бактеріальні кишкові інфекції;;
;;;A04.90;;Бактеріальна кишкова інфекція, неуточнена;;
;;A05;;;A05. Iнші бактеріальні харчові отруєння;;
;;;A05.00;;Стафілококове харчове отруєння;;
;;;A05.10;;Ботулізм;;
;;;A05.20;;Харчове отруєння, спричинене Clostrіdіum perfrіngens;;
